date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-11-06 00:00:00+00:00,275.12,275.3,273.25,273.32,60085894,265.5964411002,265.770210217,263.7911730541,263.8587499328,60085894,0.0,1.0
2018-11-07 00:00:00+00:00,281.01,281.1,277.08,277.56,102752099,271.2825527536,271.369437312,267.4885937048,267.9519780161,102752099,0.0,1.0
2018-11-08 00:00:00+00:00,280.5,281.22,279.22,280.11,65584886,270.7902069229,271.4852833898,269.554515426,270.4137071699,65584886,0.0,1.0
2018-11-09 00:00:00+00:00,277.76,279.24,276.18,279.03,98812561,268.1450548124,269.5738231057,266.619748121,269.3710924695,98812561,0.0,1.0
2018-11-12 00:00:00+00:00,272.57,277.46,271.99,277.19,99673574,263.1347119464,267.8554396179,262.5747892369,267.5947859428,99673574,0.0,1.0
2018-11-13 00:00:00+00:00,272.06,275.33,271.25,273.09,98176610,262.6423661156,265.7991717364,261.8604050903,263.636711617,98176610,0.0,1.0
2018-11-14 00:00:00+00:00,270.2,274.61,268.45,274.16,125335931,260.8467519093,265.1040952695,259.157329941,264.6696724776,125335931,0.0,1.0
2018-11-15 00:00:00+00:00,273.02,273.54,267.01,268.78,135101437,263.5691347382,264.0711344088,257.767177007,259.475906655,135101437,0.0,1.0
2018-11-16 00:00:00+00:00,273.73,274.75,271.21,271.79,126668040,264.2545573654,265.2392490269,261.821789731,262.3817124405,126668040,0.0,1.0
2018-11-19 00:00:00+00:00,269.1,273.38,268.07,273.05,103061706,259.7848295292,263.9166729717,258.7904840278,263.5980962577,103061706,0.0,1.0
2018-11-20 00:00:00+00:00,264.12,267.0,263.15,265.36,136021311,254.9772172993,257.7575231672,254.0407948369,256.1742934369,136021311,0.0,1.0
2018-11-21 00:00:00+00:00,265.02,267.15,265.01,265.86,75563743,255.846062883,257.9023307645,255.8364090432,256.6569854278,75563743,0.0,1.0
2018-11-23 00:00:00+00:00,263.25,264.82,263.07,263.18,42807878,254.1373332351,255.6529860867,253.9635641183,254.0697563564,42807878,0.0,1.0
2018-11-26 00:00:00+00:00,267.5,267.75,265.34,265.78,79981362,258.2402151582,258.4815611536,256.1549857573,256.5797547093,79981362,0.0,1.0
2018-11-27 00:00:00+00:00,268.4,268.4,265.66,266.34,75502441,259.1090607419,259.1090607419,256.4639086315,257.1203697392,75502441,0.0,1.0
2018-11-28 00:00:00+00:00,274.58,274.58,268.33,269.6,127629633,265.07513375,265.07513375,259.0414838631,260.2675215201,127629633,0.0,1.0
2018-11-29 00:00:00+00:00,273.98,275.55,272.43,273.71,82346420,264.4959033609,266.0115562124,262.9995581889,264.2352496858,82346420,0.0,1.0
2018-11-30 00:00:00+00:00,275.65,276.28,273.45,273.81,98204190,266.1080946106,266.7162865192,263.9842498505,264.3317880839,98204190,0.0,1.0
2018-12-03 00:00:00+00:00,279.3,280.4,277.51,280.28,103017719,269.6317461446,270.6936685247,267.903708817,270.5778224468,103017719,0.0,1.0
2018-12-04 00:00:00+00:00,270.25,278.85,269.9,278.37,177986013,260.8950211084,269.1973233527,260.5571367147,268.7339390414,177986013,0.0,1.0
2018-12-06 00:00:00+00:00,269.84,269.97,262.44,265.92,204185411,260.4992136758,260.6247135934,253.3553722097,256.7149084668,204185411,0.0,1.0
2018-12-07 00:00:00+00:00,263.57,271.22,262.63,269.46,161018923,254.4462561093,261.8314435708,253.5387951663,260.1323677627,161018923,0.0,1.0
2018-12-10 00:00:00+00:00,264.07,265.16,258.62,263.37,151445885,254.9289481002,255.9812166405,249.6676053989,254.2531793129,151445885,0.0,1.0
2018-12-11 00:00:00+00:00,264.13,267.87,262.48,267.66,121504431,254.9868711392,258.5974072315,253.393987569,258.3946765953,121504431,0.0,1.0
2018-12-12 00:00:00+00:00,265.46,269.0,265.37,267.47,97976706,256.2708318351,259.688291131,256.1839472767,258.2112536387,97976706,0.0,1.0
2018-12-13 00:00:00+00:00,265.37,267.49,264.12,266.52,96662717,256.1839472767,258.2305613183,254.9772172993,257.2941388559,96662717,0.0,1.0
2018-12-14 00:00:00+00:00,260.47,264.03,259.85,262.96,116961071,251.4535657654,254.890332741,250.8550276966,253.8573718803,116961071,0.0,1.0
2018-12-17 00:00:00+00:00,255.36,260.65,253.53,259.4,165492257,246.5204536179,251.6273348821,244.753800931,250.4206049048,165492257,0.0,1.0
2018-12-18 00:00:00+00:00,255.08,257.95,253.28,257.2,134515094,246.250146103,249.020798131,244.5124549355,248.2967601446,134515094,0.0,1.0
2018-12-19 00:00:00+00:00,251.26,259.4,249.35,255.17,214992763,242.5623792921,250.4206049048,240.7184958867,246.3370306613,214992763,0.0,1.0
2018-12-20 00:00:00+00:00,247.17,251.62,244.65,249.86,252053377,238.6139588061,242.9099175256,236.1811911718,241.2108417174,252053377,0.0,1.0
2018-12-21 00:00:00+00:00,240.7,249.71,239.98,246.74,255345633,233.7536366109,242.5036169427,233.0544150971,239.6193281984,255345633,1.4354,1.0
